"orderID";"productID";"unitPrice";"quantity";"discount"
10248;11;14.0;12;0.0
10248;42;98.0;10;0.0
10248;72;348.0;5;0.0
10249;14;186.0;9;0.0
10249;51;424.0;40;0.0
10250;41;77.0;10;0.0
10250;51;424.0;35;15.0
10250;65;168.0;15;15.0
10251;22;168.0;6;5.0
10251;57;156.0;15;5.0
10251;65;168.0;20;0.0
10252;20;648.0;40;5.0
10252;33;2.0;25;5.0
10252;60;272.0;40;0.0
10253;31;10.0;20;0.0
10253;39;144.0;42;0.0
10253;49;16.0;40;0.0
10254;24;36.0;15;15.0
10254;55;192.0;21;15.0
10254;74;8.0;21;0.0
10255;2;152.0;20;0.0
10255;16;139.0;35;0.0
10255;36;152.0;25;0.0
10255;59;44.0;30;0.0
10256;53;262.0;15;0.0
10256;77;104.0;12;0.0
10257;27;351.0;25;0.0
10257;39;144.0;6;0.0
10257;77;104.0;15;0.0
10258;2;152.0;50;2.0
10258;5;17.0;65;2.0
10258;32;256.0;6;2.0
10259;21;8.0;10;0.0
10259;37;208.0;1;0.0
10260;41;77.0;16;25.0
10260;57;156.0;50;0.0
10260;62;394.0;15;25.0
10260;70;12.0;21;25.0
10261;21;8.0;20;0.0
10261;35;144.0;20;0.0
10262;5;17.0;12;2.0
10262;7;24.0;15;0.0
10262;56;304.0;2;0.0
10263;16;139.0;60;25.0
10263;24;36.0;28;0.0
10263;30;207.0;60;25.0
10263;74;8.0;36;25.0
10264;2;152.0;35;0.0
10264;41;77.0;25;15.0
10265;17;312.0;30;0.0
10265;70;12.0;20;0.0
10266;12;304.0;12;5.0
10267;40;147.0;50;0.0
10267;59;44.0;70;15.0
10267;76;144.0;15;15.0
10268;29;99.0;10;0.0
10268;72;278.0;4;0.0
10269;33;2.0;60;5.0
10269;72;278.0;20;5.0
10270;36;152.0;30;0.0
10270;43;368.0;25;0.0
10271;33;2.0;24;0.0
10272;20;648.0;6;0.0
10272;31;10.0;40;0.0
10272;72;278.0;24;0.0
10273;10;248.0;24;5.0
10273;31;10.0;15;5.0
10273;33;2.0;20;0.0
10273;40;147.0;60;5.0
10273;76;144.0;33;5.0
10274;71;172.0;20;0.0
10274;72;278.0;7;0.0
10275;24;36.0;12;5.0
10275;59;44.0;6;5.0
10276;10;248.0;15;0.0
10276;13;48.0;10;0.0
10277;28;364.0;20;0.0
10277;62;394.0;12;0.0
10278;44;155.0;16;0.0
10278;59;44.0;15;0.0
10278;63;351.0;8;0.0
10278;73;12.0;25;0.0
10279;17;312.0;15;25.0
10280;24;36.0;12;0.0
10280;55;192.0;20;0.0
10280;75;62.0;30;0.0
10281;19;73.0;1;0.0
10281;24;36.0;6;0.0
10281;35;144.0;4;0.0
10282;30;207.0;6;0.0
10282;57;156.0;2;0.0
10283;15;124.0;20;0.0
10283;19;73.0;18;0.0
10283;60;272.0;35;0.0
10283;72;278.0;3;0.0
10284;27;351.0;15;25.0
10284;44;155.0;21;0.0
10284;60;272.0;20;25.0
10284;67;112.0;5;25.0
10285;1;144.0;45;2.0
10285;40;147.0;40;2.0
10285;53;262.0;36;2.0
10286;35;144.0;100;0.0
10286;62;394.0;40;0.0
10287;16;139.0;40;15.0
10287;34;112.0;20;0.0
10287;46;96.0;15;15.0
10288;54;59.0;10;1.0
10288;68;10.0;3;1.0
10289;3;8.0;30;0.0
10289;64;266.0;9;0.0
10290;5;17.0;20;0.0
10290;29;99.0;15;0.0
10290;49;16.0;15;0.0
10290;77;104.0;10;0.0
10291;13;48.0;20;1.0
10291;44;155.0;24;1.0
10291;51;424.0;2;1.0
10292;20;648.0;20;0.0
10293;18;50.0;12;0.0
10293;24;36.0;10;0.0
10293;63;351.0;5;0.0
10293;75;62.0;6;0.0
10294;1;144.0;18;0.0
10294;17;312.0;15;0.0
10294;43;368.0;15;0.0
10294;60;272.0;21;0.0
10294;75;62.0;6;0.0
10295;56;304.0;4;0.0
10296;11;168.0;12;0.0
10296;16;139.0;30;0.0
10296;69;288.0;15;0.0
10297;39;144.0;60;0.0
10297;72;278.0;20;0.0
10298;2;152.0;40;0.0
10298;36;152.0;40;25.0
10298;59;44.0;30;25.0
10298;62;394.0;15;0.0
10299;19;73.0;15;0.0
10299;70;12.0;20;0.0
10300;66;136.0;30;0.0
10300;68;10.0;20;0.0
10301;40;147.0;10;0.0
10301;56;304.0;20;0.0
10302;17;312.0;40;0.0
10302;28;364.0;28;0.0
10302;43;368.0;12;0.0
10303;40;147.0;40;1.0
10303;65;168.0;30;1.0
10303;68;10.0;15;1.0
10304;49;16.0;30;0.0
10304;59;44.0;10;0.0
10304;71;172.0;2;0.0
10305;18;50.0;25;1.0
10305;29;99.0;25;1.0
10305;39;144.0;30;1.0
10306;30;207.0;10;0.0
10306;53;262.0;10;0.0
10306;54;59.0;5;0.0
10307;62;394.0;10;0.0
10307;68;10.0;3;0.0
10308;69;288.0;1;0.0
10308;70;12.0;5;0.0
10309;4;176.0;20;0.0
10309;6;20.0;30;0.0
10309;42;112.0;2;0.0
10309;43;368.0;20;0.0
10309;71;172.0;3;0.0
10310;16;139.0;10;0.0
10310;62;394.0;5;0.0
10311;42;112.0;6;0.0
10311;69;288.0;7;0.0
10312;28;364.0;4;0.0
10312;43;368.0;24;0.0
10312;53;262.0;20;0.0
10312;75;62.0;10;0.0
10313;36;152.0;12;0.0
10314;32;256.0;40;1.0
10314;58;106.0;30;1.0
10314;62;394.0;25;1.0
10315;34;112.0;14;0.0
10315;70;12.0;30;0.0
10316;41;77.0;10;0.0
10316;62;394.0;70;0.0
10317;1;144.0;20;0.0
10318;41;77.0;20;0.0
10318;76;144.0;6;0.0
10319;17;312.0;8;0.0
10319;28;364.0;14;0.0
10319;76;144.0;30;0.0
10320;71;172.0;30;0.0
10321;35;144.0;10;0.0
10322;52;56.0;20;0.0
10323;15;124.0;5;0.0
10323;25;112.0;4;0.0
10323;39;144.0;4;0.0
10324;16;139.0;21;15.0
10324;35;144.0;70;15.0
10324;46;96.0;30;0.0
10324;59;44.0;40;15.0
10324;63;351.0;80;15.0
10325;6;20.0;6;0.0
10325;13;48.0;12;0.0
10325;14;186.0;9;0.0
10325;31;10.0;4;0.0
10325;72;278.0;40;0.0
10326;4;176.0;24;0.0
10326;57;156.0;16;0.0
10326;75;62.0;50;0.0
10327;2;152.0;25;2.0
10327;11;168.0;50;2.0
10327;30;207.0;35;2.0
10327;58;106.0;30;2.0
10328;59;44.0;9;0.0
10328;65;168.0;40;0.0
10328;68;10.0;10;0.0
10329;19;73.0;10;5.0
10329;30;207.0;8;5.0
10329;38;2108.0;20;5.0
10329;56;304.0;12;5.0
10330;26;249.0;50;15.0
10330;72;278.0;25;15.0
10331;54;59.0;15;0.0
10332;18;50.0;40;2.0
10332;42;112.0;10;2.0
10332;47;76.0;16;2.0
10333;14;186.0;10;0.0
10333;21;8.0;10;1.0
10333;71;172.0;40;1.0
10334;52;56.0;8;0.0
10334;68;10.0;10;0.0
10335;2;152.0;7;2.0
10335;31;10.0;25;2.0
10335;32;256.0;6;2.0
10335;51;424.0;48;2.0
10336;4;176.0;18;1.0
10337;23;72.0;40;0.0
10337;26;249.0;24;0.0
10337;36;152.0;20;0.0
10337;37;208.0;28;0.0
10337;72;278.0;25;0.0
10338;17;312.0;20;0.0
10338;30;207.0;15;0.0
10339;4;176.0;10;0.0
10339;17;312.0;70;5.0
10339;62;394.0;28;0.0
10340;18;50.0;20;5.0
10340;41;77.0;12;5.0
10340;43;368.0;40;5.0
10341;33;2.0;8;0.0
10341;59;44.0;9;15.0
10342;2;152.0;24;2.0
10342;31;10.0;56;2.0
10342;36;152.0;40;2.0
10342;55;192.0;40;2.0
10343;64;266.0;50;0.0
10343;68;10.0;4;5.0
10343;76;144.0;15;0.0
10344;4;176.0;35;0.0
10344;8;32.0;70;25.0
10345;8;32.0;70;0.0
10345;19;73.0;80;0.0
10345;42;112.0;9;0.0
10346;17;312.0;36;1.0
10346;56;304.0;20;0.0
10347;25;112.0;10;0.0
10347;39;144.0;50;15.0
10347;40;147.0;4;0.0
10347;75;62.0;6;15.0
10348;1;144.0;15;15.0
10348;23;72.0;25;0.0
10349;54;59.0;24;0.0
10350;50;13.0;15;1.0
10350;69;288.0;18;1.0
10351;38;2108.0;20;5.0
10351;41;77.0;13;0.0
10351;44;155.0;77;5.0
10351;65;168.0;10;5.0
10352;24;36.0;10;0.0
10352;54;59.0;20;15.0
10353;11;168.0;12;2.0
10353;38;2108.0;50;2.0
10354;1;144.0;12;0.0
10354;29;99.0;4;0.0
10355;24;36.0;25;0.0
10355;57;156.0;25;0.0
10356;31;10.0;30;0.0
10356;55;192.0;12;0.0
10356;69;288.0;20;0.0
10357;10;248.0;30;2.0
10357;26;249.0;16;0.0
10357;60;272.0;8;2.0
10358;24;36.0;10;5.0
10358;34;112.0;10;5.0
10358;36;152.0;20;5.0
10359;16;139.0;56;5.0
10359;31;10.0;70;5.0
10359;60;272.0;80;5.0
10360;28;364.0;30;0.0
10360;29;99.0;35;0.0
10360;38;2108.0;10;0.0
10360;49;16.0;35;0.0
10360;54;59.0;28;0.0
10361;39;144.0;54;1.0
10361;60;272.0;55;1.0
10362;25;112.0;50;0.0
10362;51;424.0;20;0.0
10362;54;59.0;24;0.0
10363;31;10.0;20;0.0
10363;75;62.0;12;0.0
10363;76;144.0;12;0.0
10364;69;288.0;30;0.0
10364;71;172.0;5;0.0
10365;11;168.0;24;0.0
10366;65;168.0;5;0.0
10366;77;104.0;5;0.0
